index_in_dataset,metric,depth,width,num_iter,skip_n11,mic_obj_group,microscope_type,object,index_in_tiff,Component 1,Component 2
85,ssim_gt,4,32,900,4,nucleus_confocal,confocal,nucleus,5,-11.439939498901367,0.5905879735946655
90,l1_gt,4,32,1100,4,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,lpips_gt,6,asc_to512,2200,4,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,lpips_gt_rank,8,16,100,0,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,lpips_psnr_gt,4,32,1500,4,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,mse_gt,4,asc_to512,700,4,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,psnr_gt,4,asc_to512,700,4,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,psnr_gt_rank,7,512,100,0,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
90,ssim_gt,4,32,1000,4,nucleus_confocal,confocal,nucleus,6,-11.399646759033203,0.6221733093261719
93,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,lpips_gt,7,32,1900,4,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,lpips_gt_rank,8,512,100,4,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,lpips_psnr_gt,6,asc_to512,2100,4,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,mse_gt,4,64,800,4,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,psnr_gt,4,64,800,4,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,psnr_gt_rank,7,512,100,0,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
93,ssim_gt,4,32,1100,4,nucleus_confocal,confocal,nucleus,7,-11.342429161071777,0.6640712022781372
94,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,lpips_gt,8,64,2300,4,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,lpips_gt_rank,8,16,100,0,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,lpips_psnr_gt,8,64,1800,4,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,mse_gt,5,asc_to512,800,4,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,psnr_gt,5,asc_to512,800,4,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,psnr_gt_rank,8,512,100,0,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
94,ssim_gt,4,32,900,4,nucleus_confocal,confocal,nucleus,8,-11.410757064819336,0.38849812746047974
140,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,lpips_gt,8,64,1900,4,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,lpips_gt_rank,5,512,200,0,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,lpips_psnr_gt,7,64,1500,4,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,mse_gt,7,64,1000,4,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,psnr_gt,7,64,1000,4,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,psnr_gt_rank,8,512,200,4,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
140,ssim_gt,4,32,1100,4,nucleus_confocal,confocal,nucleus,9,-1.3429863452911377,2.6187052726745605
611,l1_gt,4,64,2800,0,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,lpips_gt,8,64,2000,4,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,lpips_gt_rank,6,32,100,4,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,lpips_psnr_gt,4,32,1400,4,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,mse_gt,4,asc_to512,900,4,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,psnr_gt,4,asc_to512,900,4,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,psnr_gt_rank,7,512,100,0,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
611,ssim_gt,5,32,2900,4,nucleus_confocal,confocal,nucleus,10,-1.2255470752716064,1.455080509185791
631,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,lpips_gt,7,32,2000,4,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,lpips_gt_rank,6,16,100,4,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,lpips_psnr_gt,5,32,1300,4,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,mse_gt,4,asc_to512,1200,4,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,psnr_gt,4,asc_to512,1200,4,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,psnr_gt_rank,8,512,100,0,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
631,ssim_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,11,-1.2537345886230469,1.393530249595642
644,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,lpips_gt,7,64,1500,4,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,lpips_gt_rank,5,512,100,4,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,lpips_psnr_gt,5,64,1200,4,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,mse_gt,4,32,800,4,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,psnr_gt,4,32,800,4,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,psnr_gt_rank,6,512,100,4,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
644,ssim_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,12,-1.2324174642562866,1.3887513875961304
803,l1_gt,4,64,2300,0,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,lpips_gt,8,128,2100,4,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,lpips_gt_rank,7,16,100,0,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,lpips_psnr_gt,5,16,1600,4,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,mse_gt,5,32,900,4,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,psnr_gt,5,32,900,4,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,psnr_gt_rank,7,512,100,0,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
803,ssim_gt,4,32,900,4,nucleus_confocal,confocal,nucleus,13,-3.850339412689209,2.0245113372802734
809,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,lpips_gt,7,32,2400,4,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,lpips_gt_rank,8,16,100,0,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,lpips_psnr_gt,4,asc_to512,1400,4,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,mse_gt,4,asc_to512,600,4,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,psnr_gt,4,asc_to512,600,4,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,psnr_gt_rank,6,512,100,4,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
809,ssim_gt,4,asc_to512,900,4,nucleus_confocal,confocal,nucleus,14,-3.7991693019866943,1.9724208116531372
812,l1_gt,4,32,1100,4,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,lpips_gt,8,512,2700,4,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,lpips_gt_rank,8,16,100,0,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,lpips_psnr_gt,5,16,2200,4,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,mse_gt,4,32,700,4,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,psnr_gt,4,32,700,4,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,psnr_gt_rank,8,512,100,0,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
812,ssim_gt,4,32,1100,4,nucleus_confocal,confocal,nucleus,15,-3.7941551208496094,1.9542288780212402
843,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,lpips_gt,8,512,2400,4,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,lpips_gt_rank,8,16,100,0,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,lpips_psnr_gt,5,16,1600,4,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,mse_gt,4,32,600,4,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,psnr_gt,4,32,600,4,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,psnr_gt_rank,8,512,200,0,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
843,ssim_gt,5,16,1100,4,nucleus_confocal,confocal,nucleus,16,-3.787935495376587,1.9609527587890625
4021,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,lpips_gt,8,128,1200,4,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,lpips_gt_rank,8,512,100,0,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,lpips_psnr_gt,5,asc_to512,800,4,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,mse_gt,4,16,700,4,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,psnr_gt,4,16,700,4,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,psnr_gt_rank,8,512,100,4,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4021,ssim_gt,4,64,2800,0,nucleus_confocal,confocal,nucleus,17,-11.547330856323242,0.4713621437549591
4033,l1_gt,4,64,2700,0,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,lpips_gt,8,32,1600,4,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,lpips_gt_rank,8,32,100,0,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,lpips_psnr_gt,4,32,800,4,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,mse_gt,6,64,600,4,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,psnr_gt,6,64,600,4,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,psnr_gt_rank,7,512,100,4,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4033,ssim_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,18,-11.60013484954834,0.505492627620697
4149,l1_gt,4,64,1800,0,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,lpips_gt,8,16,1300,4,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,lpips_gt_rank,8,asc_to512,100,0,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,lpips_psnr_gt,8,16,1300,4,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,mse_gt,4,64,2800,0,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,psnr_gt,4,64,2800,0,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,psnr_gt_rank,8,asc_to512,100,4,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
4149,ssim_gt,4,64,2800,0,nucleus_confocal,confocal,nucleus,19,-2.5052733421325684,1.7269716262817383
5203,l1_gt,6,512,2100,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5203,lpips_gt,6,512,2100,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5203,lpips_gt_rank,5,256,100,0,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5203,lpips_psnr_gt,6,512,2100,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5203,mse_gt,5,256,1100,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5203,psnr_gt,5,256,1100,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
